,Price,Address,City,bed,bath,SQFT
271,"$434,990",10014BadenLanePlan:TheRoosevelt,AustinTX78754,3,3,"2,320sq.ft"
272,"$434,700",6020SpringdaleRD17,AustinTX78723,2,2,"1,595sq.ft"
273,"$430,000",1140NorthwesternAve,AustinTX78702,,,
274,"$430,000",1103ColonyNorthDR,AustinTX78758,2,2,"1,422sq.ft"
275,"$430,000",1513ArialDR,AustinTX78753,2,2,"1,884sq.ft"
276,"$430,000",1920O'CallahanDR,AustinTX78748,2,2,"2,026sq.ft"
277,"$430,000",8314PalacePKWY,AustinTX78748,2,2,"2,103sq.ft"
278,"$430,000",3820TailfeatherDR,RoundRockTX78681,2,2,"3,239sq.ft"
279,"$429,900",300CrockettST106,AustinTX78704,2,2,"1,239sq.ft"
280,"$395,990",8325CityTopBoulevardPlan:ThePioneer,AustinTX78724,2,2,"1,461sq.ft"
281,"$395,000",3010SiskinDR,AustinTX78745,2,2,"1,027sq.ft"
282,"$395,000",501W26thST107,AustinTX78705,2,2,"1,040sq.ft"
283,"$395,000",1012Milford,AustinTX78745,2,2,"1,197sq.ft"
284,"$395,000",207WElliottST,AustinTX78753,1,1,"1,330sq.ft"
285,"$395,000",8701EscarpmentBLVD94,AustinTX78749,2,2,"1,415sq.ft"
286,"$395,000",10805HammondsST,AustinTX78747,2,2,"2,042sq.ft"
287,"$394,990",10014BadenLanePlan:TheRedwoodII,AustinTX78754,2,2,"1,514sq.ft"
288,"$394,000",10111DobbinDR,AustinTX78748,,,
289,"$393,990",10014BadenLanePlan:TheJefferson,AustinTX78754,2,2,"1,512sq.ft"
290,"$393,990",8325CityTopBoulevardPlan:TheDenali,AustinTX78724,2,2,"1,813sq.ft"
291,"$390,000",2500LongviewST220,AustinTX78705,1,1,818sq.ft
292,"$390,000",310NorthfieldST,RoundRockTX78681,2,2,"1,916sq.ft"
293,"$389,900",12101SunderlandDR,AustinTX78753,2,2,"1,764sq.ft"
294,"$389,900",2502LeonST501,AustinTX78705,2,2,"1,036sq.ft"
295,"$389,000",9102ShepardDR,AustinTX78753,2,2,"1,247sq.ft"
296,"$389,000",811SussexDR,AustinTX78745,2,2,"1,332sq.ft"
297,"$389,000",7124OutfitterDR,AustinTX78744,2,2,"1,705sq.ft"
298,"$389,000",2001RockCreekDR,RoundRockTX78681,2,2,"2,080sq.ft"
299,"$386,990",10014BadenLanePlan:TheWashington,AustinTX78754,2,2,"1,400sq.ft"
300,"$350,000",1804GraveyardPointRD,AustinTX78734,1,1,"1,472sq.ft"
301,"$350,000",12283AbbeyGlenLN,AustinTX78753,2,2,"2,028sq.ft"
302,"$349,999",5820AbbyAnnLN,AustinTX78747,2,2,"1,364sq.ft"
303,"$349,990",3101DavisLN6803,AustinTX78748,2,2,"1,473sq.ft"
304,"$349,900",10505MarshitahsWAY,AustinTX78748,1,1,"1,054sq.ft"
305,"$349,900",12212BrigadoonLN141,AustinTX78727,2,2,"1,317sq.ft"
306,"$349,900",2632CenturyParkBLVD61,AustinTX78727,2,2,"1,540sq.ft"
307,"$349,000",15409ArmstrongAve,AustinTX78724,2,2,"2,400sq.ft"
308,"$348,990",DiamondleafBendPlan:TheRosemont,AustinTX78724,3,3,"2,733sq.ft"
309,"$347,990",5709BerriweatherDrive,AustinTX78724,2,2,"1,832sq.ft"
310,"$347,500",2100PipersFieldDR7,AustinTX78758,2,2,"1,300sq.ft"
311,"$346,995",2108TilleryST12,AustinTX78723,1,1,585sq.ft
312,"$346,990",13101BrahminDrivePlan:TheJustin,AustinTX78724,2,2,"1,832sq.ft"
313,"$345,000",2108TilleryST15,AustinTX78723,1,1,585sq.ft
314,"$345,000",2108TilleryST14,AustinTX78723,1,1,585sq.ft
315,"$345,000",2505SanGabrielST308,AustinTX78705,2,2,879sq.ft
316,"$345,000",5816RoderickDR,AustinTX78724,2,2,"1,657sq.ft"
317,"$344,900",12707LaSalleDR,AustinTX78727,1,1,"1,168sq.ft"
318,"$343,990",13101BrahminDrivePlan:TheIrvine,AustinTX78724,2,2,"1,796sq.ft"
319,"$343,990",DiamondleafBendPlan:TheQuincy,AustinTX78724,3,3,"2,656sq.ft"
320,"$299,000",7114ThannasWAY,AustinTX78744,2,2,"1,442sq.ft"
321,"$295,000",4513SecureLN,AustinTX78725,2,2,"1,300sq.ft"
322,"$295,000",2500LongviewST213,AustinTX78705,1,1,572sq.ft
323,"$295,000",7105TreasureCV13,AustinTX78745,2,2,916sq.ft
324,"$295,000",935LaPosadaDR145,AustinTX78752,2,2,"1,030sq.ft"
325,"$295,000",4620SendaLN,AustinTX78725,2,2,"1,293sq.ft"
326,"$295,000",4604CypressBND,AustinTX78744,2,2,"1,343sq.ft"
327,"$293,990",DiamondleafBendPlan:TheBellvue,AustinTX78724,2,2,"1,415sq.ft"
328,"$291,000",7903PersimmonTRL,AustinTX78745,,,
329,"$290,000",2500LongviewST112,AustinTX78705,1,1,572sq.ft
330,"$290,000",1009MarkhamLaneA,AustinTX78753,2,2,989sq.ft
331,"$289,999",6000ShepherdMountainCV313,AustinTX78730,2,2,918sq.ft
332,"$289,900",2409LeonST108,AustinTX78705,2,2,901sq.ft
333,"$289,500",715W22nd1/2ST303,AustinTX78705,1,1,682sq.ft
334,"$287,700",12291AbbeyGlenLn,AustinTX78753,2,2,"1,749sq.ft"
335,"$285,990",6900ERiversideDR14,AustinTX78741,2,2,"1,312sq.ft"
336,"$285,000",1748OhlenRD87,AustinTX78757,2,2,"1,194sq.ft"
337,"$284,500",2706SaladoST201,AustinTX78705,2,2,740sq.ft
338,"$280,000",12166MetricBLVD271,AustinTX78758,2,2,"1,004sq.ft"
339,"$280,000",1900ScofieldRidgePKWY5001,AustinTX78727,1,1,"1,089sq.ft"
340,"$175,000",2220WebbervilleRD222,AustinTX78702,1,1,398sq.ft
341,"$174,950",601NelrayBLVD9,AustinTX78751,1,1,390sq.ft
